word,frequency,rank
belediyesi,33,338.0
ne,118,55.0
ait,104,73.0
veysel,4,
karani,2,
mahallesi,83,104.0
nde,18,613.0
bulunan,88,93.0
arsanın,1,
satılması,2,
işi,11,945.0
sayılı,340,9.0
devlet,105,71.0
hale,442,8.0
kanunu,97,78.0
nun,51,207.0
maddesine,24,485.0
istinaden,4,
kapalı,72,126.0
teklif,311,10.0
usulü,70,136.0
ile,490,7.0
ihale,247,15.0
edilecektir,74,118.0
mülkiyeti,18,613.0
belediyemize,20,562.0
ait,104,73.0
osmangazi,6,
lçesi,25,465.0
veysel,4,
karani,2,
mahallesi,83,104.0
ada,68,143.0
parselde,13,810.0
bulunan,88,93.0
arsa,26,446.0
nitelikli,1,
ölçekli,4,
imarlı,1,
ticaret,152,32.0
konut,26,446.0
e,172,28.0
yükseklik,3,
kat,60,174.0
m²,62,164.0
gayrimenkulün,2,
satılması,2,
işi,11,945.0
tahmini,5,
satış,42,272.0
bedeli,112,61.0
tl,311,10.0
geçici,137,41.0
teminat,148,34.0
miktarı,31,361.0
tl,311,10.0
halenin,33,338.0
yapılacağı,40,284.0
yer,175,27.0
osmangazi,6,
belediye,128,49.0
başkanlığı,85,100.0
encümen,16,683.0
salonu,20,562.0
hale,442,8.0
tarih,57,185.0
saati,44,253.0
salı,10,
günü,72,126.0
saat,96,80.0
evrakları,6,
sunma,1,
tarih,57,185.0
saati,44,253.0
pazartesi,7,
günü,72,126.0
kadar,131,46.0
haleye,113,59.0
iştirak,25,465.0
edecek,14,771.0
olanlar,5,
bir,233,17.0
ihale,247,15.0
şartnamesi,24,485.0
eklerini,2,
tl,311,10.0
yirmi,17,644.0
bin,5,
türk,62,164.0
lirası,15,723.0
bedel,43,261.0
karşılığında,18,613.0
satın,91,86.0
alabilir,4,
istekliler,25,465.0
tarafından,112,61.0
istenilen,32,352.0
belgeler,116,56.0
kapalı,72,126.0
zarflar,2,
en,205,21.0
geç,26,446.0
nisan,870,3.0
pazartesi,7,
günü,72,126.0
saat,96,80.0
kadar,131,46.0
santral,2,
garaj,1,
mh,2,
ulubatlı,1,
hasan,2,
blv,6,
osmangazi,6,
bursa,7,
adresindeki,19,585.0
mali,55,194.0
hizmetler,18,613.0
müdürlüğü,186,23.0
ne,118,55.0
teslim,71,131.0
edilir,21,539.0
belirtilen,210,20.0
saatten,8,
sonra,50,212.0
verilecek,8,
teklif,311,10.0
mektupları,16,683.0
veya,648,6.0
herhangi,53,199.0
bir,233,17.0
nedenle,2,
oluşacak,2,
gecikmeler,29,398.0
dikkate,30,378.0
alınmayacaktır,34,330.0
teklifler,64,158.0
iadeli,27,423.0
taahhütlü,29,398.0
olarak,178,26.0
da,133,45.0
gönderilebilir,12,872.0
bu,244,16.0
takdirde,17,644.0
dış,27,423.0
zarfın,11,945.0
üzerine,20,562.0
komisyon,13,810.0
başkanlığının,4,
adresi,86,96.0
ile,490,7.0
hangi,15,723.0
işe,19,585.0
ait,104,73.0
olduğu,43,261.0
isteklinin,14,771.0
adı,36,316.0
soyadı,11,945.0
veya,648,6.0
ticari,8,
unvanı,16,683.0
ile,490,7.0
açık,69,139.0
adresi,86,96.0
yazılacaktır,6,
posta,86,96.0
ile,490,7.0
gönderilecek,3,
tekliflerin,37,304.0
ilanda,9,
belirtilen,210,20.0
saate,7,
kadar,131,46.0
komisyon,13,810.0
başkanlığına,15,723.0
ulaşması,7,
şarttır,23,504.0
postada,8,
olacak,9,
gecikmeler,29,398.0
kabul,91,86.0
edilmez,15,723.0
ç,43,261.0
zarf,39,293.0
dış,27,423.0
zarfın,11,945.0
içinde,58,181.0
istenen,22,523.0
diğer,63,160.0
evraklar,3,
ile,490,7.0
teslim,71,131.0
edilecektir,74,118.0
teklif,311,10.0
mektubundan,2,
oluşur,2,
maddesine,24,485.0
göre,109,64.0
hazırlanacak,4,
teklif,311,10.0
mektubu,53,199.0
ihaleye,135,42.0
iştirak,25,465.0
edecek,14,771.0
gerçek,71,131.0
veya,648,6.0
tüzel,199,22.0
kişiler,43,261.0
tarafından,112,61.0
imzalanacak,5,
bu,244,16.0
teklifte,15,723.0
şartname,115,57.0
eklerinin,6,
aynen,4,
kabul,91,86.0
edildiği,5,
belirtilecektir,5,
teklifler,64,158.0
hem,4,
rakamla,2,
hem,4,
yazıyla,2,
açık,69,139.0
olarak,178,26.0
yazılacaktır,6,
bunlardan,4,
herhangi,53,199.0
birine,8,
uygun,106,67.0
olmayan,7,
veya,648,6.0
üzerinde,18,613.0
kazıntı,3,
silinti,3,
düzeltme,10,
bulunan,88,93.0
teklifler,64,158.0
reddedilecektir,2,
bütün,12,872.0
belgeler,116,56.0
dış,27,423.0
zarfın,11,945.0
içerisine,3,
konulduktan,1,
sonra,50,212.0
zarf,39,293.0
kapatılıp,1,
üzerine,20,562.0
isteklinin,14,771.0
adı,36,316.0
soyadı,11,945.0
ticaret,152,32.0
unvanı,16,683.0
kanuni,12,872.0
tebligatına,1,
ilişkin,89,92.0
adres,51,207.0
yazılarak,2,
yapıştırılacak,5,
istekli,38,300.0
tarafından,112,61.0
imzalanacaktır,7,
hale,442,8.0
komisyonu,24,485.0
tarafından,112,61.0
uygun,106,67.0
bulunulduğu,1,
yerde,5,
ihaleye,135,42.0
teklif,311,10.0
sunacak,1,
gerçek,71,131.0
veya,648,6.0
tüzel,199,22.0
kişilerden,8,
geçerli,15,723.0
tekliflerden,1,
en,205,21.0
yüksek,86,96.0
teklifin,11,945.0
altında,8,
olmamak,47,235.0
kaydıyla,47,235.0
oturumda,1,
hazır,6,
bulunan,88,93.0
isteklilerden,7,
sözlü,46,244.0
veya,648,6.0
yazılı,41,277.0
teklif,311,10.0
alınmak,15,723.0
suretiyle,36,316.0
ihaleye,135,42.0
ait,104,73.0
şartname,115,57.0
eklerinde,2,
belirtilen,210,20.0
kriterlere,1,
göre,109,64.0
ihale,247,15.0
sonuçlandırılır,6,
hale,442,8.0
komisyon,13,810.0
başkanlığı,85,100.0
na,16,683.0
verilen,40,284.0
teklifler,64,158.0
belgeler,116,56.0
herhangi,53,199.0
bir,233,17.0
sebeple,6,
geri,8,
alınamaz,4,
haleye,113,59.0
iştirak,25,465.0
edecek,14,771.0
isteklilerin,19,585.0
sunması,13,810.0
gereken,25,465.0
evraklar,3,
gerçek,71,131.0
kişiler,43,261.0
nüfus,47,235.0
kayıt,28,409.0
örneği,23,504.0
b,218,19.0
kametgah,5,
belgesi,149,33.0
sayfa,863,5.0
resmî,896,2.0
gazete,899,1.0
nisan,870,3.0
sayı,864,4.0
c,141,38.0
nüfus,47,235.0
cüzdan,16,683.0
fotokopisi,28,409.0
tebligat,33,338.0
için,293,12.0
yazılı,41,277.0
adres,51,207.0
beyanı,16,683.0
e,172,28.0
geçici,137,41.0
teminat,148,34.0
bedellerini,2,
yatırmış,3,
olmak,279,13.0
veya,648,6.0
banka,33,338.0
teminat,148,34.0
mektubu,53,199.0
sunmak,11,945.0
f,52,202.0
vekaleten,18,613.0
ihaleye,135,42.0
katılımlarda,2,
noter,144,36.0
tasdikli,105,71.0
vekaletname,8,
g,51,207.0
noter,144,36.0
tasdikli,105,71.0
imza,91,86.0
beyanı,16,683.0
ya,68,143.0
da,133,45.0
sirküsü,13,810.0
h,49,222.0
şartname,115,57.0
alındı,17,644.0
makbuzu,20,562.0
teklif,311,10.0
mektubunu,13,810.0
içeren,16,683.0
iç,19,585.0
zarf,39,293.0
j,12,872.0
haleden,4,
yasaklı,6,
olunmadığına,4,
dair,126,51.0
yazılı,41,277.0
beyan,7,
k,62,164.0
belediyeye,7,
borcu,46,244.0
bulunmadığına,8,
dair,126,51.0
belge,135,42.0
l,36,316.0
ortak,72,126.0
girişim,41,277.0
olması,146,35.0
halinde,170,29.0
ortak,72,126.0
girişim,41,277.0
beyannamesi,75,114.0
ortak,72,126.0
girişimi,11,945.0
oluşturan,13,810.0
gerçek,71,131.0
tüzel,199,22.0
kişilerin,33,338.0
biri,9,
için,293,12.0
yukarıda,49,222.0
istenen,22,523.0
belgelerin,52,202.0
sunulması,23,504.0
gerekmektedir,84,103.0
tüzel,199,22.0
kişiler,43,261.0
teklif,311,10.0
vermeye,17,644.0
yetkili,37,304.0
olduğunu,35,327.0
gösteren,50,212.0
noter,144,36.0
tasdikli,105,71.0
imza,91,86.0
sirküsü,13,810.0
b,218,19.0
mevzuatı,23,504.0
gereği,25,465.0
tüzel,199,22.0
kişiliğin,76,111.0
siciline,21,539.0
kayıtlı,67,146.0
bulunduğu,50,212.0
ticaret,152,32.0
veya,648,6.0
sanayi,75,114.0
odasından,24,485.0
ihalenin,27,423.0
yapıldığı,32,352.0
yıl,111,63.0
içerisinde,104,73.0
alınmış,67,146.0
tüzel,199,22.0
kişiliğin,76,111.0
sicile,11,945.0
kayıtlı,67,146.0
olduğuna,18,613.0
dair,126,51.0
belge,135,42.0
c,141,38.0
ticaret,152,32.0
sicil,141,38.0
gazetesi,20,562.0
geçici,137,41.0
teminat,148,34.0
bedellerini,2,
yatırmış,3,
olmak,279,13.0
veya,648,6.0
banka,33,338.0
teminat,148,34.0
mektubu,53,199.0
sunmak,11,945.0
e,172,28.0
vekaleten,18,613.0
ihaleye,135,42.0
katılımlarda,2,
noter,144,36.0
tasdikli,105,71.0
vekaletname,8,
f,52,202.0
tüzel,199,22.0
kişilik,13,810.0
dernek,8,
ise,54,197.0
karar,55,194.0
defteri,1,
karar,55,194.0
defterine,1,
hale,442,8.0
ile,490,7.0
ilgili,128,49.0
karar,55,194.0
alınarak,15,723.0
yetkili,37,304.0
tayin,1,
edilmesi,22,523.0
g,51,207.0
tüzel,199,22.0
kişilik,13,810.0
dernek,8,
ise,54,197.0
yetkilinin,5,
noter,144,36.0
tasdikli,105,71.0
imza,91,86.0
sirküsü,13,810.0
derneğin,1,
ihalenin,27,423.0
yapıldığı,32,352.0
yıl,111,63.0
içinde,58,181.0
alınmış,67,146.0
faaliyet,3,
belgesi,149,33.0
h,49,222.0
tüzel,199,22.0
kişilik,13,810.0
yetkilisinin,2,
ikametgah,3,
belgesi,149,33.0
şartname,115,57.0
alındı,17,644.0
makbuzu,20,562.0
j,12,872.0
teklif,311,10.0
mektubunu,13,810.0
içeren,16,683.0
iç,19,585.0
zarf,39,293.0
k,62,164.0
haleden,4,
yasaklı,6,
olunmadığına,4,
dair,126,51.0
yazılı,41,277.0
beyan,7,
l,36,316.0
belediyeye,7,
borcu,46,244.0
bulunmadığına,8,
dair,126,51.0
belge,135,42.0
ortak,72,126.0
girişim,41,277.0
olması,146,35.0
halinde,170,29.0
ortak,72,126.0
girişim,41,277.0
beyannamesi,75,114.0
ortak,72,126.0
girişimi,11,945.0
oluşturan,13,810.0
gerçek,71,131.0
tüzel,199,22.0
kişilerin,33,338.0
biri,9,
için,293,12.0
yukarıda,49,222.0
istenen,22,523.0
belgelerin,52,202.0
sunulması,23,504.0
gerekmektedir,84,103.0
haleye,113,59.0
belediyeye,7,
ait,104,73.0
borcu,46,244.0
bulunmayan,5,
hakkında,50,212.0
ihalelere,7,
katılmaktan,3,
yasaklılık,3,
kararı,47,235.0
verilmemiş,1,
olan,119,54.0
istekliler,25,465.0
katılabilir,3,
geçici,137,41.0
teminat,148,34.0
ödemeleri,1,
belediye,128,49.0
veznesine,11,945.0
ya,68,143.0
da,133,45.0
osmangazi,6,
belediyesi,33,338.0
vergi,36,316.0
gelirleri,2,
türkiye,82,105.0
vakıflar,17,644.0
bankası,25,465.0
iban,8,
merkez,46,244.0
şubesi,6,
tr,121,53.0
hesabına,21,539.0
yapılabilir,3,
haleye,113,59.0
ait,104,73.0
şartname,115,57.0
ekleri,6,
belediyemiz,33,338.0
mali,55,194.0
hizmetleri,17,644.0
müdürlüğü,186,23.0
nde,18,613.0
bedelsiz,5,
görülebilir,28,409.0
şartname,115,57.0
satış,42,272.0
bedeli,112,61.0
tl,311,10.0
olup,87,94.0
ihaleye,135,42.0
gireceklerin,2,
ihale,247,15.0
dokümanı,27,423.0
almaları,22,523.0
zorunludur,61,169.0
belediyemiz,33,338.0
ihaleyi,29,398.0
yapıp,27,423.0
yapmamakta,27,423.0
serbesttir,27,423.0
lan,67,146.0
olunur,47,235.0
nisan,870,3.0
sayı,864,4.0
resmî,896,2.0
gazete,899,1.0
sayfa,863,5.0
operatör,5,
operatör,5,
yardimcili,2,
yükleti,2,
n,80,107.0
tl,311,10.0
saat,96,80.0
esasina,2,
göre,109,64.0
ödenmek,4,
üzere,130,48.0
ki,27,423.0
ralanmasi,4,
hi,40,284.0
zmet,14,771.0
alimi,17,644.0
şi,67,146.0
hale,442,8.0
edi,37,304.0
lecekti,32,352.0
r,47,235.0
türkiye,82,105.0
petrolleri,11,945.0
anonim,26,446.0
ortaklığı,31,361.0
şırnak,11,945.0
bölge,43,261.0
müdürlüğünden,134,44.0
tpao,35,327.0
şirnak,10,
bölge,43,261.0
müdürlüğü,186,23.0
operatör,5,
operatör,5,
yardimcili,2,
yükleti,2,
n,80,107.0
tl,311,10.0
saat,96,80.0
esasina,2,
göre,109,64.0
ödenmek,4,
üzere,130,48.0
ki,27,423.0
ralanmasi,4,
hi,40,284.0
zmet,14,771.0
alimi,17,644.0
şi,67,146.0
açik,3,
hale,442,8.0
usulü,70,136.0
ile,490,7.0
ihale,247,15.0
edilecektir,74,118.0
hale,442,8.0
kayıt,28,409.0
darenin,30,378.0
adresi,86,96.0
tpao,35,327.0
şirnak,10,
bölge,43,261.0
müdürlüğü,186,23.0
gündoğdu,2,
mah,66,151.0
uludere,2,
cad,68,143.0
merkez,46,244.0
şirnak,10,
b,218,19.0
telefon,37,304.0
faks,32,352.0
numarası,51,207.0
c,141,38.0
elektronik,50,212.0
posta,86,96.0
adresi,86,96.0
varsa,18,613.0
sirnak_ihale,3,
tpao,35,327.0
gov,46,244.0
tr,121,53.0
hale,442,8.0
konusu,87,94.0
hizmetin,13,810.0
niteliği,23,504.0
türü,44,253.0
miktarı,31,361.0
ay,64,158.0
süre,42,272.0
ile,490,7.0
tl,311,10.0
saat,96,80.0
esasına,7,
göre,109,64.0
ödenmek,4,
üzere,130,48.0
operatörlü,1,
operatör,5,
yardımcılı,1,
tonluk,1,
yüklet,2,
olmak,279,13.0
üzere,130,48.0
toplam,36,316.0
adet,114,58.0
iş,138,40.0
makinesi,5,
kiralama,19,585.0
hizmet,72,126.0
alımı,40,284.0
b,218,19.0
teslim,71,131.0
yeri,103,75.0
tpao,35,327.0
şırnak,11,945.0
bölge,43,261.0
müdürlüğü,186,23.0
bestesor,1,
depolama,2,
alanı,24,485.0
tpao,35,327.0
şırnak,11,945.0
bölge,43,261.0
müdürlüğüne,21,539.0
bağlı,18,613.0
tüm,27,423.0
petrol,36,316.0
sahaları,2,
ihtiyaç,3,
duyulan,1,
türkiye,82,105.0
nin,59,177.0
ili,16,683.0
dahil,11,945.0
tüm,27,423.0
yerler,3,
c,141,38.0
şin,19,585.0
süresi,69,139.0
şe,16,683.0
başlama,21,539.0
tarihinden,73,122.0
itibaren,58,181.0
oniki,3,
aydır,1,
halenin,33,338.0
yapılacağı,40,284.0
yer,175,27.0
tpao,35,327.0
şirnak,10,
bölge,43,261.0
müdürlüğü,186,23.0
toplanti,2,
salonu,20,562.0
gündoğdu,2,
mah,66,151.0
uludere,2,
cad,68,143.0
merkez,46,244.0
şirnak,10,
b,218,19.0
tarihi,97,78.0
saati,44,253.0
haleye,113,59.0
katılabilmek,26,446.0
çin,30,378.0
gereken,25,465.0
belgeler,116,56.0
yeterlik,27,423.0
kriterleri,12,872.0
steklilerin,22,523.0
ihaleye,135,42.0
katılabilmeleri,12,872.0
için,293,12.0
aşağıda,76,111.0
sayılan,17,644.0
belgeleri,67,146.0
teklifleri,22,523.0
kapsamında,47,235.0
sunmaları,12,872.0
gerekir,29,398.0
mevzuatı,23,504.0
gereği,25,465.0
kayıtlı,67,146.0
olduğu,43,261.0
ticaret,152,32.0
veya,648,6.0
sanayi,75,114.0
odası,65,154.0
veya,648,6.0
meslek,46,244.0
odası,65,154.0
belgesi,149,33.0
gerçek,71,131.0
kişi,65,154.0
olması,146,35.0
halinde,170,29.0
ilk,34,330.0
ilan,86,96.0
veya,648,6.0
ihale,247,15.0
tarihinin,11,945.0
içerisinde,104,73.0
bulunduğu,50,212.0
yılda,10,
alınmış,67,146.0
ilgisine,11,945.0
göre,109,64.0
ticaret,152,32.0
veya,648,6.0
sanayi,75,114.0
odasına,9,
veya,648,6.0
ilgili,128,49.0
meslek,46,244.0
odasına,9,
kayıtlı,67,146.0
olduğunu,35,327.0
gösterir,54,197.0
belge,135,42.0
tüzel,199,22.0
kişi,65,154.0
olması,146,35.0
halinde,170,29.0
mevzuatı,23,504.0
gereği,25,465.0
tüzel,199,22.0
kişiliğin,76,111.0
siciline,21,539.0
kayıtlı,67,146.0
bulunduğu,50,212.0
ticaret,152,32.0
veya,648,6.0
sanayi,75,114.0
odasından,24,485.0
ilk,34,330.0
ilan,86,96.0
veya,648,6.0
ihale,247,15.0
tarihinin,11,945.0
içerisinde,104,73.0
bulunduğu,50,212.0
yılda,10,
alınmış,67,146.0
tüzel,199,22.0
kişiliğin,76,111.0
sicile,11,945.0
kayıtlı,67,146.0
olduğuna,18,613.0
dair,126,51.0
belge,135,42.0
b,218,19.0
teklif,311,10.0
vermeye,17,644.0
yetkili,37,304.0
olduğunu,35,327.0
gösteren,50,212.0
imza,91,86.0
beyannamesi,75,114.0
veya,648,6.0
imza,91,86.0
sirküleri,41,277.0
gerçek,71,131.0
kişi,65,154.0
olması,146,35.0
halinde,170,29.0
noter,144,36.0
tasdikli,105,71.0
imza,91,86.0
beyannamesi,75,114.0
tüzel,199,22.0
kişi,65,154.0
olması,146,35.0
halinde,170,29.0
ilgisine,11,945.0
göre,109,64.0
tüzel,199,22.0
kişiliğin,76,111.0
ortakları,16,683.0
üyeleri,14,771.0
veya,648,6.0
kurucuları,11,945.0
ile,490,7.0
tüzel,199,22.0
kişiliğin,76,111.0
yönetimindeki,10,
görevlileri,10,
belirten,20,562.0
son,113,59.0
durumu,28,409.0
gösterir,54,197.0
ticaret,152,32.0
sicil,141,38.0
gazetesi,20,562.0
bu,244,16.0
bilgilerin,6,
tamamının,3,
bir,233,17.0
ticaret,152,32.0
sicil,141,38.0
gazetesinde,2,
bulunmaması,9,
halinde,170,29.0
bu,244,16.0
bilgilerin,6,
tümünü,2,
göstermek,20,562.0
üzere,130,48.0
ilgili,128,49.0
ticaret,152,32.0
sicil,141,38.0
gazeteleri,2,
veya,648,6.0
bu,244,16.0
hususları,11,945.0
gösteren,50,212.0
belgeler,116,56.0
ile,490,7.0
tüzel,199,22.0
kişiliğin,76,111.0
noter,144,36.0
tasdikli,105,71.0
imza,91,86.0
sirküleri,41,277.0
c,141,38.0
dari,40,284.0
şartname,115,57.0
ekinde,24,485.0
yer,175,27.0
alan,102,77.0
teklif,311,10.0
mektubu,53,199.0
ç,43,261.0
dari,40,284.0
şartnamede,24,485.0
belirtilen,210,20.0
geçici,137,41.0
teminat,148,34.0
mektubu,53,199.0
veya,648,6.0
geçici,137,41.0
teminat,148,34.0
mektupları,16,683.0
dışındaki,11,945.0
teminatların,2,
saymanlık,3,
ya,68,143.0
da,133,45.0
muhasebe,3,
müdürlüklerine,2,
yatırıldığını,2,
gösteren,50,212.0
makbuzlar,1,
sayfa,863,5.0
resmî,896,2.0
gazete,899,1.0
nisan,870,3.0
sayı,864,4.0
dari,40,284.0
şartnamenin,21,539.0
inci,94,83.0
maddelerinde,10,
belirtilen,210,20.0
şekli,23,504.0
içeriği,11,945.0
hizmet,72,126.0
alımı,40,284.0
haleleri,13,810.0
uygulama,74,118.0
yönetmeliğinde,7,
düzenlenen,30,378.0
yeterlik,27,423.0
belgeleri,67,146.0
e,172,28.0
vekâleten,17,644.0
ihaleye,135,42.0
katılma,18,613.0
halinde,170,29.0
vekil,3,
adına,50,212.0
düzenlenmiş,9,
ihaleye,135,42.0
katılmaya,10,
ilişkin,89,92.0
noter,144,36.0
onaylı,62,164.0
vekâletname,15,723.0
ile,490,7.0
vekilin,2,
noter,144,36.0
tasdikli,105,71.0
imza,91,86.0
beyannamesi,75,114.0
f,52,202.0
steklinin,26,446.0
ortak,72,126.0
girişim,41,277.0
olması,146,35.0
halinde,170,29.0
iş,138,40.0
ortaklığı,31,361.0
beyannamesi,75,114.0
g,51,207.0
dari,40,284.0
şartnamenin,21,539.0
uncu,8,
maddesinin,52,202.0
b,218,19.0
c,141,38.0
e,172,28.0
g,51,207.0
bentlerinde,10,
sayılan,17,644.0
durumlarda,3,
olunmadığına,4,
ilişkin,89,92.0
yazılı,41,277.0
taahhütname,12,872.0
ğ,4,
tüzel,199,22.0
kişi,65,154.0
tarafından,112,61.0
iş,138,40.0
deneyimini,17,644.0
göstermek,20,562.0
üzere,130,48.0
sunulan,17,644.0
belgenin,20,562.0
tüzel,199,22.0
kişiliğin,76,111.0
yarısından,13,810.0
fazla,39,293.0
hissesine,16,683.0
sahip,91,86.0
ortağına,13,810.0
ait,104,73.0
olması,146,35.0
halinde,170,29.0
ticaret,152,32.0
sanayi,75,114.0
odası,65,154.0
ticaret,152,32.0
odası,65,154.0
bünyesinde,16,683.0
bulunan,88,93.0
ticaret,152,32.0
sicil,141,38.0
memurlukları,10,
veya,648,6.0
yeminli,17,644.0
mali,55,194.0
müşavir,30,378.0
ya,68,143.0
da,133,45.0
serbest,15,723.0
muhasebeci,15,723.0
mali,55,194.0
müşavir,30,378.0
tarafından,112,61.0
ilk,34,330.0
ilan,86,96.0
tarihinden,73,122.0
sonra,50,212.0
düzenlenen,30,378.0
düzenlendiği,11,945.0
tarihten,15,723.0
geriye,17,644.0
doğru,16,683.0
son,113,59.0
bir,233,17.0
yıldır,15,723.0
kesintisiz,11,945.0
olarak,178,26.0
bu,244,16.0
şartın,10,
korunduğunu,11,945.0
gösteren,50,212.0
belge,135,42.0
h,49,222.0
kanun,45,250.0
kapsamındaki,15,723.0
idarelere,10,
taahhüt,19,585.0
edilenler,11,945.0
dışında,30,378.0
yurt,31,361.0
dışında,30,378.0
gerçekleştirilen,14,771.0
işler,9,
için,293,12.0
düzenlenen,30,378.0
iş,138,40.0
bitirme,4,
belgesinin,37,304.0
tarih,57,185.0
sayılı,340,9.0
türk,62,164.0
ticaret,152,32.0
kanunu,97,78.0
nun,51,207.0
inci,94,83.0
maddesinin,52,202.0
ikinci,10,
fıkrası,20,562.0
gereğince,59,177.0
pay,7,
çoğunluğuna,6,
dayanarak,6,
kurulan,8,
şirketler,11,945.0
topluluğu,10,
ilişkisi,10,
içinde,58,181.0
kullanılması,10,
halinde,170,29.0
bu,244,16.0
hukuki,6,
ilişkiyi,6,
bu,244,16.0
ilişkinin,6,
süresini,7,
tevsik,19,585.0
eden,39,293.0
belge,135,42.0
ı,13,810.0
bu,244,16.0
madde,26,446.0
boş,26,446.0
bırakılmıştır,7,
hale,442,8.0
dokümanının,20,562.0
satın,91,86.0
alındığına,15,723.0
dair,126,51.0
belge,135,42.0
hale,442,8.0
dokümanı,27,423.0
satış,42,272.0
bedelinin,29,398.0
yatırıldığına,10,
dair,126,51.0
banka,33,338.0
dekontu,5,
j,12,872.0
dari,40,284.0
şartnamenin,21,539.0
maddesinde,36,316.0
ihalenin,27,423.0
yabancı,63,160.0
isteklilere,3,
açıklığı,1,
maddesinde,36,316.0
istenen,22,523.0
yerli,34,330.0
istekli,38,300.0
olduğunu,35,327.0
gösteren,50,212.0
belgeler,116,56.0
mesleki,25,465.0
teknik,37,304.0
yeterliğe,12,872.0
ilişkin,89,92.0
aranacak,3,
belgeler,116,56.0
bu,244,16.0
belgelerin,52,202.0
taşıması,16,683.0
gereken,25,465.0
kriterler,20,562.0
steklinin,26,446.0
teknolojik,2,
ürün,8,
deneyim,27,423.0
belgesi,149,33.0
ya,68,143.0
da,133,45.0
yurt,31,361.0
içinde,58,181.0
veya,648,6.0
yurt,31,361.0
dışında,30,378.0
kamu,71,131.0
veya,648,6.0
özel,63,160.0
sektörde,2,
bedel,43,261.0
içeren,16,683.0
tek,10,
bir,233,17.0
sözleşme,33,338.0
