word,frequency,rank
belediyesi,33,338.0
ne,118,57.0
ait,104,74.0
veysel,4,
karani,2,
mahallesi,83,104.0
nde,18,613.0
bulunan,88,93.0
arsanın,1,
satılması,2,
işi,11,946.0
sayılı,340,9.0
devlet,105,73.0
hale,442,8.0
kanunu,97,79.0
nun,51,206.0
maddesin,24,485.0
istinaden,4,
kapalı,72,127.0
teklif,314,10.0
usulü,70,136.0
ile,490,7.0
ihal,247,15.0
edilecektir,74,118.0
mülkiyeti,18,613.0
belediyem,20,559.0
ait,104,74.0
osmangazi,6,
lçesi,25,466.0
veysel,4,
karani,2,
mahallesi,83,104.0
ada,68,143.0
parseld,13,811.0
bulunan,88,93.0
arsa,26,444.0
nitelik,7,
ölçek,4,
imarlı,1,
ticaret,152,33.0
konut,26,444.0
e,172,28.0
yükseklik,3,
kat,61,169.0
m²,62,164.0
gayrimenkulün,2,
satılması,2,
işi,11,946.0
tahmini,5,
satış,42,272.0
bede,112,63.0
tl,311,11.0
geçici,137,44.0
teminat,148,36.0
miktarı,31,361.0
tl,311,11.0
halenin,33,338.0
yapılacağı,40,285.0
yer,209,21.0
osmangazi,6,
belediy,128,52.0
başkanlığı,85,100.0
encümen,16,681.0
salonu,20,559.0
hale,442,8.0
tarih,162,31.0
saati,44,253.0
salı,10,
günü,72,127.0
saat,103,76.0
evrakları,6,
sunma,1,
tarih,162,31.0
saati,44,253.0
pazartesi,7,
günü,72,127.0
kadar,131,49.0
haley,113,61.0
iştirak,25,466.0
edecek,14,775.0
olanlar,5,
bir,233,17.0
ihal,247,15.0
şartnamesi,24,485.0
eklerini,2,
tl,311,11.0
yirmi,17,644.0
bin,5,
türk,62,164.0
lirası,15,724.0
bedel,44,253.0
karşılığında,18,613.0
satın,91,86.0
alabilir,4,
isteklil,25,466.0
tarafından,112,63.0
istenilen,32,351.0
belgel,116,58.0
kapalı,72,127.0
zarflar,2,
en,205,22.0
geç,26,444.0
nisan,870,3.0
pazartesi,7,
günü,72,127.0
saat,103,76.0
kadar,131,49.0
santral,2,
garaj,1,
mh,2,
ulubatlı,1,
hasan,2,
blv,6,
osmangazi,6,
bursa,7,
adresindeki,19,584.0
mali,55,193.0
hizmetl,18,613.0
müdürlüğü,186,25.0
ne,118,57.0
teslim,71,131.0
edilir,21,537.0
belirtilen,210,20.0
saatten,8,
sonra,50,212.0
verilecek,8,
teklif,314,10.0
mektupları,16,681.0
veya,648,6.0
herhangi,53,198.0
bir,233,17.0
nedenl,2,
oluşacak,2,
gecikmel,29,398.0
dikkat,32,351.0
alınmayacaktır,34,331.0
teklifl,64,158.0
iad,35,327.0
taahhütlü,29,398.0
olarak,178,27.0
da,133,48.0
gönderilebilir,12,872.0
bu,244,16.0
takdird,17,644.0
dış,27,423.0
zarfın,11,946.0
üzerin,20,559.0
komisyon,13,811.0
başkanlığının,4,
adresi,86,96.0
ile,490,7.0
hangi,15,724.0
işe,19,584.0
ait,104,74.0
olduğu,43,263.0
isteklinin,14,775.0
adı,36,316.0
soyadı,11,946.0
veya,648,6.0
ticari,8,
unvanı,16,681.0
ile,490,7.0
açık,69,139.0
adresi,86,96.0
yazılacaktır,6,
posta,86,96.0
ile,490,7.0
gönderilecek,3,
tekliflerin,38,301.0
ilanda,9,
belirtilen,210,20.0
saat,103,76.0
kadar,131,49.0
komisyon,13,811.0
başkanlığına,15,724.0
ulaşması,7,
şarttır,23,503.0
postada,8,
olacak,9,
gecikmel,29,398.0
kabul,91,86.0
edilmez,15,724.0
ç,43,263.0
zarf,39,294.0
dış,27,423.0
zarfın,11,946.0
içind,58,181.0
istenen,22,522.0
diğer,63,160.0
evraklar,3,
ile,490,7.0
teslim,71,131.0
edilecektir,74,118.0
teklif,314,10.0
mektubundan,2,
oluşur,2,
maddesin,24,485.0
göre,109,66.0
hazırlanacak,4,
teklif,314,10.0
mektubu,53,198.0
ihaley,135,46.0
iştirak,25,466.0
edecek,14,775.0
gerçek,71,131.0
veya,648,6.0
tüzel,199,23.0
kişil,43,263.0
tarafından,112,63.0
imzalanacak,5,
bu,244,16.0
teklift,15,724.0
şartnam,115,59.0
eklerinin,6,
aynen,4,
kabul,91,86.0
edildiği,5,
belirtilecektir,5,
teklifl,64,158.0
hem,4,
rakamla,2,
hem,4,
yazıyla,2,
açık,69,139.0
olarak,178,27.0
yazılacaktır,6,
bunlardan,4,
herhangi,53,198.0
birin,8,
uygun,106,69.0
olmayan,7,
veya,648,6.0
üzerind,18,613.0
kazıntı,3,
silinti,3,
düzeltm,10,
bulunan,88,93.0
teklifl,64,158.0
reddedilecektir,2,
bütün,12,872.0
belgel,116,58.0
dış,27,423.0
zarfın,11,946.0
içerisin,3,
konulduktan,1,
sonra,50,212.0
zarf,39,294.0
kapatılıp,1,
üzerin,20,559.0
isteklinin,14,775.0
adı,36,316.0
soyadı,11,946.0
ticaret,152,33.0
unvanı,16,681.0
kanuni,12,872.0
tebligatına,1,
ilişkin,89,92.0
adr,51,206.0
yazılarak,2,
yapıştırılacak,5,
istek,38,301.0
tarafından,112,63.0
imzalanacaktır,7,
hale,442,8.0
komisyonu,24,485.0
tarafından,112,63.0
uygun,106,69.0
bulunulduğu,1,
yerd,5,
ihaley,135,46.0
teklif,314,10.0
sunacak,1,
gerçek,71,131.0
veya,648,6.0
tüzel,199,23.0
kişilerden,8,
geçer,15,724.0
tekliflerden,1,
en,205,22.0
yüksek,86,96.0
teklifin,11,946.0
altında,8,
olmamak,47,234.0
kaydıyla,47,234.0
oturumda,1,
hazır,6,
bulunan,88,93.0
isteklilerden,7,
sözlü,46,244.0
veya,648,6.0
yazılı,41,278.0
teklif,314,10.0
alınmak,15,724.0
suretiyl,36,316.0
ihaley,135,46.0
ait,104,74.0
şartnam,115,59.0
eklerind,2,
belirtilen,210,20.0
kriterler,1,
göre,109,66.0
ihal,247,15.0
sonuçlandırılır,6,
hale,442,8.0
komisyon,13,811.0
başkanlığı,85,100.0
na,16,681.0
verilen,40,285.0
teklifl,64,158.0
belgel,116,58.0
herhangi,53,198.0
bir,233,17.0
sebepl,6,
geri,8,
alınamaz,4,
haley,113,61.0
iştirak,25,466.0
edecek,14,775.0
isteklilerin,19,584.0
sunması,13,811.0
gereken,25,466.0
evraklar,3,
gerçek,71,131.0
kişil,43,263.0
nüfus,47,234.0
kayıt,28,409.0
örneği,23,503.0
b,218,19.0
kametgah,5,
belgesi,149,35.0
sayfa,863,5.0
resmî,896,2.0
gazet,899,1.0
nisan,870,3.0
sayı,864,4.0
c,141,41.0
nüfus,47,234.0
cüzdan,16,681.0
fotokopisi,28,409.0
tebligat,33,338.0
için,293,12.0
yazılı,41,278.0
adr,51,206.0
beyanı,16,681.0
e,172,28.0
geçici,137,44.0
teminat,148,36.0
bedellerini,2,
yatırmış,3,
olmak,279,13.0
veya,648,6.0
banka,33,338.0
teminat,148,36.0
mektubu,53,198.0
sunmak,11,946.0
f,52,202.0
vekaleten,18,613.0
ihaley,135,46.0
katılımlarda,2,
noter,144,38.0
tasdik,136,45.0
vekaletnam,8,
g,51,206.0
noter,144,38.0
tasdik,136,45.0
imza,91,86.0
beyanı,16,681.0
ya,68,143.0
da,133,48.0
sirküsü,13,811.0
h,49,222.0
şartnam,115,59.0
alındı,17,644.0
makbuzu,20,559.0
teklif,314,10.0
mektubunu,13,811.0
içeren,16,681.0
iç,19,584.0
zarf,39,294.0
j,12,872.0
haleden,4,
yasaklı,6,
olunmadığına,4,
dair,143,39.0
yazılı,41,278.0
beyan,7,
k,62,164.0
belediyey,7,
borcu,46,244.0
bulunmadığına,8,
dair,143,39.0
belg,138,42.0
l,36,316.0
ortak,72,127.0
girişim,41,278.0
olması,146,37.0
halind,170,29.0
ortak,72,127.0
girişim,41,278.0
beyannamesi,75,114.0
ortak,72,127.0
girişimi,11,946.0
oluşturan,13,811.0
gerçek,71,131.0
tüzel,199,23.0
kişilerin,33,338.0
biri,9,
için,293,12.0
yukarıda,49,222.0
istenen,22,522.0
belgelerin,53,198.0
sunulması,23,503.0
gerekmektedir,84,103.0
tüzel,199,23.0
kişil,43,263.0
teklif,314,10.0
vermey,17,644.0
yetkili,37,307.0
olduğunu,35,327.0
gösteren,50,212.0
noter,144,38.0
tasdik,136,45.0
imza,91,86.0
sirküsü,13,811.0
b,218,19.0
mevzuatı,23,503.0
gereği,25,466.0
tüzel,199,23.0
kişiliğin,76,111.0
sicilin,21,537.0
kayıtlı,67,146.0
bulunduğu,50,212.0
ticaret,152,33.0
veya,648,6.0
sanayi,75,114.0
odasından,24,485.0
ihalenin,27,423.0
yapıldığı,32,351.0
yıl,111,65.0
içerisind,104,74.0
alınmış,67,146.0
tüzel,199,23.0
kişiliğin,76,111.0
sicil,152,33.0
kayıtlı,67,146.0
olduğuna,18,613.0
dair,143,39.0
belg,138,42.0
c,141,41.0
ticaret,152,33.0
sicil,152,33.0
gazetesi,20,559.0
geçici,137,44.0
teminat,148,36.0
bedellerini,2,
yatırmış,3,
olmak,279,13.0
veya,648,6.0
banka,33,338.0
teminat,148,36.0
mektubu,53,198.0
sunmak,11,946.0
e,172,28.0
vekaleten,18,613.0
ihaley,135,46.0
katılımlarda,2,
noter,144,38.0
tasdik,136,45.0
vekaletnam,8,
f,52,202.0
tüzel,199,23.0
kişilik,13,811.0
dernek,8,
ise,54,196.0
karar,55,193.0
defteri,1,
karar,55,193.0
defterin,1,
hale,442,8.0
ile,490,7.0
ilgili,128,52.0
karar,55,193.0
alınarak,15,724.0
yetkili,37,307.0
tayin,1,
edilmesi,22,522.0
g,51,206.0
tüzel,199,23.0
kişilik,13,811.0
dernek,8,
ise,54,196.0
yetkilinin,5,
noter,144,38.0
tasdik,136,45.0
imza,91,86.0
sirküsü,13,811.0
derneğin,1,
ihalenin,27,423.0
yapıldığı,32,351.0
yıl,111,65.0
içind,58,181.0
alınmış,67,146.0
faaliyet,3,
belgesi,149,35.0
h,49,222.0
tüzel,199,23.0
kişilik,13,811.0
yetkilisinin,2,
ikametgah,3,
belgesi,149,35.0
şartnam,115,59.0
alındı,17,644.0
makbuzu,20,559.0
j,12,872.0
teklif,314,10.0
mektubunu,13,811.0
içeren,16,681.0
iç,19,584.0
zarf,39,294.0
k,62,164.0
haleden,4,
yasaklı,6,
olunmadığına,4,
dair,143,39.0
yazılı,41,278.0
beyan,7,
l,36,316.0
belediyey,7,
borcu,46,244.0
bulunmadığına,8,
dair,143,39.0
belg,138,42.0
ortak,72,127.0
girişim,41,278.0
olması,146,37.0
halind,170,29.0
ortak,72,127.0
girişim,41,278.0
beyannamesi,75,114.0
ortak,72,127.0
girişimi,11,946.0
oluşturan,13,811.0
gerçek,71,131.0
tüzel,199,23.0
kişilerin,33,338.0
biri,9,
için,293,12.0
yukarıda,49,222.0
istenen,22,522.0
belgelerin,53,198.0
sunulması,23,503.0
gerekmektedir,84,103.0
haley,113,61.0
belediyey,7,
ait,104,74.0
borcu,46,244.0
bulunmayan,5,
hakkında,50,212.0
ihaleler,7,
katılmaktan,3,
yasaklılık,3,
kararı,47,234.0
verilmemiş,1,
olan,119,56.0
isteklil,25,466.0
katılabilir,3,
geçici,137,44.0
teminat,148,36.0
ödemeleri,1,
belediy,128,52.0
veznesin,11,946.0
ya,68,143.0
da,133,48.0
osmangazi,6,
belediyesi,33,338.0
vergi,36,316.0
gelirleri,2,
türkiy,82,105.0
vakıflar,17,644.0
bankası,25,466.0
iban,8,
merkez,46,244.0
şubesi,6,
tr,121,55.0
hesabına,21,537.0
yapılabilir,3,
haley,113,61.0
ait,104,74.0
şartnam,115,59.0
ekleri,6,
belediyemiz,33,338.0
mali,55,193.0
hizmetleri,17,644.0
müdürlüğü,186,25.0
nde,18,613.0
bedelsiz,5,
görülebilir,28,409.0
şartnam,115,59.0
satış,42,272.0
bede,112,63.0
tl,311,11.0
olup,87,94.0
ihaley,135,46.0
gireceklerin,2,
ihal,247,15.0
dokümanı,27,423.0
almaları,22,522.0
zorunludur,61,169.0
belediyemiz,33,338.0
ihaleyi,29,398.0
yapıp,27,423.0
yapmamakta,27,423.0
serbesttir,27,423.0
lan,67,146.0
olunur,47,234.0
nisan,870,3.0
sayı,864,4.0
resmî,896,2.0
gazet,899,1.0
sayfa,863,5.0
operatör,5,
operatör,5,
yardimcili,2,
yükleti,2,
n,80,107.0
tl,311,11.0
saat,103,76.0
esasina,2,
göre,109,66.0
ödenmek,4,
üzere,130,51.0
ki,27,423.0
ralanmasi,4,
hi,40,285.0
zmet,14,775.0
alimi,17,644.0
şi,67,146.0
hale,442,8.0
edi,37,307.0
lecekti,32,351.0
r,47,234.0
türkiy,82,105.0
petrolleri,11,946.0
anonim,26,444.0
ortaklığı,31,361.0
şırnak,11,946.0
bölge,43,263.0
müdürlüğünden,134,47.0
tpao,35,327.0
şirnak,10,
bölge,43,263.0
müdürlüğü,186,25.0
operatör,5,
operatör,5,
yardimcili,2,
yükleti,2,
n,80,107.0
tl,311,11.0
saat,103,76.0
esasina,2,
göre,109,66.0
ödenmek,4,
üzere,130,51.0
ki,27,423.0
ralanmasi,4,
hi,40,285.0
zmet,14,775.0
alimi,17,644.0
şi,67,146.0
açik,3,
hale,442,8.0
usulü,70,136.0
ile,490,7.0
ihal,247,15.0
edilecektir,74,118.0
hale,442,8.0
kayıt,28,409.0
darenin,30,377.0
adresi,86,96.0
tpao,35,327.0
şirnak,10,
bölge,43,263.0
müdürlüğü,186,25.0
gündoğdu,2,
mah,66,151.0
uluder,2,
cad,68,143.0
merkez,46,244.0
şirnak,10,
b,218,19.0
telefon,37,307.0
fak,32,351.0
numarası,51,206.0
c,141,41.0
elektronik,50,212.0
posta,86,96.0
adresi,86,96.0
varsa,18,613.0
sirnak_ihal,3,
tpao,35,327.0
gov,46,244.0
tr,121,55.0
hale,442,8.0
konusu,87,94.0
hizmetin,13,811.0
niteliği,23,503.0
türü,44,253.0
miktarı,31,361.0
ay,64,158.0
süre,42,272.0
ile,490,7.0
tl,311,11.0
saat,103,76.0
esasına,7,
göre,109,66.0
ödenmek,4,
üzere,130,51.0
operatörlü,1,
operatör,5,
yardımcılı,1,
tonluk,1,
yüklet,2,
olmak,279,13.0
üzere,130,51.0
toplam,36,316.0
adet,114,60.0
iş,138,42.0
makinesi,5,
kiralama,19,584.0
hizmet,74,118.0
alımı,40,285.0
b,218,19.0
teslim,71,131.0
yeri,103,76.0
tpao,35,327.0
şırnak,11,946.0
bölge,43,263.0
müdürlüğü,186,25.0
bestesor,1,
depolama,2,
alanı,24,485.0
tpao,35,327.0
şırnak,11,946.0
bölge,43,263.0
müdürlüğüne,21,537.0
bağlı,18,613.0
tüm,27,423.0
petrol,36,316.0
sahaları,2,
ihtiyaç,3,
duyulan,1,
türkiy,82,105.0
nin,59,177.0
ili,16,681.0
dahil,11,946.0
tüm,27,423.0
yerler,4,
c,141,41.0
şin,19,584.0
süresi,69,139.0
şe,16,681.0
başlama,21,537.0
tarihinden,73,123.0
itibaren,58,181.0
oniki,3,
aydır,1,
halenin,33,338.0
yapılacağı,40,285.0
yer,209,21.0
tpao,35,327.0
şirnak,10,
bölge,43,263.0
müdürlüğü,186,25.0
toplanti,2,
salonu,20,559.0
gündoğdu,2,
mah,66,151.0
uluder,2,
cad,68,143.0
merkez,46,244.0
şirnak,10,
b,218,19.0
tarihi,97,79.0
saati,44,253.0
haley,113,61.0
katılabilmek,26,444.0
çin,30,377.0
gereken,25,466.0
belgel,116,58.0
yeterlik,27,423.0
kriterleri,12,872.0
steklilerin,22,522.0
ihaley,135,46.0
katılabilmeleri,12,872.0
için,293,12.0
aşağıda,76,111.0
sayılan,17,644.0
belgeleri,67,146.0
teklifleri,22,522.0
kapsamında,47,234.0
sunmaları,12,872.0
gerekir,29,398.0
mevzuatı,23,503.0
gereği,25,466.0
kayıtlı,67,146.0
olduğu,43,263.0
ticaret,152,33.0
veya,648,6.0
sanayi,75,114.0
odası,65,154.0
veya,648,6.0
meslek,46,244.0
odası,65,154.0
belgesi,149,35.0
gerçek,71,131.0
kişi,65,154.0
olması,146,37.0
halind,170,29.0
ilk,34,331.0
ilan,86,96.0
veya,648,6.0
ihal,247,15.0
tarihinin,11,946.0
içerisind,104,74.0
bulunduğu,50,212.0
yılda,10,
alınmış,67,146.0
ilgisin,11,946.0
göre,109,66.0
ticaret,152,33.0
veya,648,6.0
sanayi,75,114.0
odasına,9,
veya,648,6.0
ilgili,128,52.0
meslek,46,244.0
odasına,9,
kayıtlı,67,146.0
olduğunu,35,327.0
gösterir,54,196.0
belg,138,42.0
tüzel,199,23.0
kişi,65,154.0
olması,146,37.0
halind,170,29.0
mevzuatı,23,503.0
gereği,25,466.0
tüzel,199,23.0
kişiliğin,76,111.0
sicilin,21,537.0
kayıtlı,67,146.0
bulunduğu,50,212.0
ticaret,152,33.0
veya,648,6.0
sanayi,75,114.0
odasından,24,485.0
ilk,34,331.0
ilan,86,96.0
veya,648,6.0
ihal,247,15.0
tarihinin,11,946.0
içerisind,104,74.0
bulunduğu,50,212.0
yılda,10,
alınmış,67,146.0
tüzel,199,23.0
kişiliğin,76,111.0
sicil,152,33.0
kayıtlı,67,146.0
olduğuna,18,613.0
dair,143,39.0
belg,138,42.0
b,218,19.0
teklif,314,10.0
vermey,17,644.0
yetkili,37,307.0
olduğunu,35,327.0
gösteren,50,212.0
imza,91,86.0
beyannamesi,75,114.0
veya,648,6.0
imza,91,86.0
sirküleri,41,278.0
gerçek,71,131.0
kişi,65,154.0
olması,146,37.0
halind,170,29.0
noter,144,38.0
tasdik,136,45.0
imza,91,86.0
beyannamesi,75,114.0
tüzel,199,23.0
kişi,65,154.0
olması,146,37.0
halind,170,29.0
ilgisin,11,946.0
göre,109,66.0
tüzel,199,23.0
kişiliğin,76,111.0
ortakları,16,681.0
üyeleri,14,775.0
veya,648,6.0
kurucuları,11,946.0
ile,490,7.0
tüzel,199,23.0
kişiliğin,76,111.0
yönetimindeki,10,
görevlileri,10,
belirten,20,559.0
son,113,61.0
durumu,28,409.0
gösterir,54,196.0
ticaret,152,33.0
sicil,152,33.0
gazetesi,20,559.0
bu,244,16.0
bilgilerin,6,
tamamının,3,
bir,233,17.0
ticaret,152,33.0
sicil,152,33.0
gazetesind,2,
bulunmaması,9,
halind,170,29.0
bu,244,16.0
bilgilerin,6,
tümünü,2,
göstermek,20,559.0
üzere,130,51.0
ilgili,128,52.0
ticaret,152,33.0
sicil,152,33.0
gazeteleri,2,
veya,648,6.0
bu,244,16.0
hususları,11,946.0
gösteren,50,212.0
belgel,116,58.0
ile,490,7.0
tüzel,199,23.0
kişiliğin,76,111.0
noter,144,38.0
tasdik,136,45.0
imza,91,86.0
sirküleri,41,278.0
c,141,41.0
dari,40,285.0
şartnam,115,59.0
ekind,24,485.0
yer,209,21.0
alan,102,78.0
teklif,314,10.0
mektubu,53,198.0
ç,43,263.0
dari,40,285.0
şartnamed,24,485.0
belirtilen,210,20.0
geçici,137,44.0
teminat,148,36.0
mektubu,53,198.0
veya,648,6.0
geçici,137,44.0
teminat,148,36.0
mektupları,16,681.0
dışındaki,11,946.0
teminatların,2,
saymanlık,3,
ya,68,143.0
da,133,48.0
muhaseb,3,
müdürlüklerin,2,
yatırıldığını,2,
gösteren,50,212.0
makbuzlar,1,
sayfa,863,5.0
resmî,896,2.0
gazet,899,1.0
nisan,870,3.0
sayı,864,4.0
dari,40,285.0
şartnamenin,21,537.0
inci,94,83.0
maddelerind,10,
belirtilen,210,20.0
şek,23,503.0
içeriği,11,946.0
hizmet,74,118.0
alımı,40,285.0
haleleri,13,811.0
uygulama,74,118.0
yönetmeliğind,7,
düzenlenen,30,377.0
yeterlik,27,423.0
belgeleri,67,146.0
e,172,28.0
vekâleten,17,644.0
ihaley,135,46.0
katılma,18,613.0
halind,170,29.0
vekil,3,
adına,50,212.0
düzenlenmiş,9,
ihaley,135,46.0
katılmaya,10,
ilişkin,89,92.0
noter,144,38.0
onaylı,62,164.0
vekâletnam,15,724.0
ile,490,7.0
vekilin,3,
noter,144,38.0
tasdik,136,45.0
imza,91,86.0
beyannamesi,75,114.0
f,52,202.0
steklinin,26,444.0
ortak,72,127.0
girişim,41,278.0
olması,146,37.0
halind,170,29.0
iş,138,42.0
ortaklığı,31,361.0
beyannamesi,75,114.0
g,51,206.0
dari,40,285.0
şartnamenin,21,537.0
uncu,8,
maddesinin,52,202.0
b,218,19.0
c,141,41.0
e,172,28.0
g,51,206.0
bentlerind,10,
sayılan,17,644.0
durumlarda,3,
olunmadığına,4,
ilişkin,89,92.0
yazılı,41,278.0
taahhütnam,12,872.0
ğ,4,
tüzel,199,23.0
kişi,65,154.0
tarafından,112,63.0
iş,138,42.0
deneyimini,17,644.0
göstermek,20,559.0
üzere,130,51.0
sunulan,17,644.0
belgenin,20,559.0
tüzel,199,23.0
kişiliğin,76,111.0
yarısından,13,811.0
fazla,39,294.0
hissesin,16,681.0
sahip,91,86.0
ortağına,13,811.0
ait,104,74.0
olması,146,37.0
halind,170,29.0
ticaret,152,33.0
sanayi,75,114.0
odası,65,154.0
ticaret,152,33.0
odası,65,154.0
bünyesind,16,681.0
bulunan,88,93.0
ticaret,152,33.0
sicil,152,33.0
memurlukları,10,
veya,648,6.0
yemin,17,644.0
mali,55,193.0
müşavir,30,377.0
ya,68,143.0
da,133,48.0
serbest,15,724.0
muhasebeci,15,724.0
mali,55,193.0
müşavir,30,377.0
tarafından,112,63.0
ilk,34,331.0
ilan,86,96.0
tarihinden,73,123.0
sonra,50,212.0
düzenlenen,30,377.0
düzenlendiği,11,946.0
tarihten,15,724.0
geriy,17,644.0
doğru,16,681.0
son,113,61.0
bir,233,17.0
yıldır,15,724.0
kesintisiz,11,946.0
olarak,178,27.0
bu,244,16.0
şartın,10,
korunduğunu,11,946.0
gösteren,50,212.0
belg,138,42.0
h,49,222.0
kanun,45,250.0
kapsamındaki,15,724.0
idareler,10,
taahhüt,19,584.0
edilenl,11,946.0
dışında,30,377.0
yurt,31,361.0
dışında,30,377.0
gerçekleştirilen,14,775.0
işler,21,537.0
için,293,12.0
düzenlenen,30,377.0
iş,138,42.0
bitirm,4,
belgesinin,37,307.0
tarih,162,31.0
sayılı,340,9.0
türk,62,164.0
ticaret,152,33.0
kanunu,97,79.0
nun,51,206.0
inci,94,83.0
maddesinin,52,202.0
ikinci,10,
fıkrası,20,559.0
gereğinc,59,177.0
pay,7,
çoğunluğuna,6,
dayanarak,6,
kurulan,8,
şirketl,11,946.0
topluluğu,10,
ilişkisi,10,
içind,58,181.0
kullanılması,10,
halind,170,29.0
bu,244,16.0
hukuki,6,
ilişkiyi,6,
bu,244,16.0
ilişkinin,6,
süresini,7,
tevsik,19,584.0
eden,42,272.0
belg,138,42.0
ı,13,811.0
bu,244,16.0
madd,26,444.0
boş,26,444.0
bırakılmıştır,7,
hale,442,8.0
dokümanının,20,559.0
satın,91,86.0
alındığına,15,724.0
dair,143,39.0
belg,138,42.0
hale,442,8.0
dokümanı,27,423.0
satış,42,272.0
bedelinin,29,398.0
yatırıldığına,10,
dair,143,39.0
banka,33,338.0
dekontu,5,
j,12,872.0
dari,40,285.0
şartnamenin,21,537.0
maddesind,36,316.0
ihalenin,27,423.0
yabancı,63,160.0
istekliler,3,
açıklığı,1,
maddesind,36,316.0
istenen,22,522.0
yer,209,21.0
istek,38,301.0
olduğunu,35,327.0
gösteren,50,212.0
belgel,116,58.0
mesleki,25,466.0
teknik,39,294.0
yeterliğ,12,872.0
ilişkin,89,92.0
aranacak,3,
belgel,116,58.0
bu,244,16.0
belgelerin,53,198.0
taşıması,16,681.0
gereken,25,466.0
kriterl,20,559.0
steklinin,26,444.0
teknolojik,2,
ürün,8,
deneyim,30,377.0
belgesi,149,35.0
ya,68,143.0
da,133,48.0
yurt,31,361.0
içind,58,181.0
veya,648,6.0
yurt,31,361.0
dışında,30,377.0
kamu,71,131.0
veya,648,6.0
özel,63,160.0
sektörd,2,
bedel,44,253.0
içeren,16,681.0
tek,16,681.0
bir,233,17.0
sözleşm,44,253.0
kapsamında,47,234.0
taahhüt,19,584.0
edilen,125,54.0
ihal,247,15.0
konusu,87,94.0
